"id","customer_id","name","cable_id","cutting_length","tall_jacket_length","short_jacket_length","remaining_blue","remaining_brown","remaining_yellow","blue_insulation_length","brown_insulation_length","yellow_insulation_length","blue_terminal_id","brown_terminal_id","yellow_terminal_id","double_terminal_id","plug_id","cord_id","extra_earth_length","cord_length","ferrit_id","description","status","tags","created_by","created_at","updated_at","deleted_at"
"140000006","30","کابل دوشاخه 3.75","120030006","200","10","2.5","3.2","3.2","6","10","10","10","120110001","120110001","120100023","","4","","","2","","","",NULL,"","","",""
"140010092","39","کابل دوشاخه  220  سانتی طوسی","120030009","220","10","2.5","6","6","6","","","","120100018","120100018","120100018","","4","","","12","","","",NULL,"","","",""
"140010117","39","کابل دوشاخه  220  سانتی طوسی","120030094","220","10","2.5","6","6","6","","","","120100018","120100018","","120100018","4","","20","12","","","",NULL,"","","",""
"140010230","39","کابل دو شاخه مخصوص کمپرسور اینورتر","120030094","215","16","2.5","6","6","6","16","16","5.5","120100018","120100018","","120100018","4","","18","1","","","",NULL,"","","",""
"140010235","39","کابل دو شاخه تی وی 1.60 سانتیمتری","120030039","160","2","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","7.5","","","",NULL,"","","",""
"140010236","39","کابل دو شاخه تی وی 1.92 سانتیمتری","120030039","192","2","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","40","","","",NULL,"","","",""
"140010237","39","کابل دو شاخه تی وی 1.63 سانتیمتری","120030039","163","2","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","11","","","",NULL,"","","",""
"140010255","39","کابل دوشاخه فریزر صندوقی","120030094","220","10","2.5","10","10","6","","","","","","","120100015","4","","20","12","","","",NULL,"","","",""
"140010260","39","کابل TV50FCU","120030039","212","20","20","3.2","3.2","0","","","","120110001","120110001","","","3","","","60","","","",NULL,"","","",""
"140010279","39","43gfslu3jfs","120030039","177","2.5","2","3","3","0","","","","120110001","120110001","","","3","","","25","","","",NULL,"","","",""
"140010280","39","58GfuDuB Hm58fs کدمقصد : 700060009","120030039","192","2","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","40","","","",NULL,"","","",""
"140010281","39","کابل TV50FCU","120030039","212","20","20","3.2","3.2","0","","","","120110001","120110001","","","3","","","60","","","",NULL,"","","",""
"140010282","39","کابل دو شاخه تی وی 1.63 سانتیمتری","120030039","163","2.5","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","11","","","",NULL,"","","",""
"140010295","39","55GFU 9632","120030039","150","2.5","1.4","4","4","0","","","","120100223","120100223","","","3","","","0","","","",NULL,"","","",""
"140020007","37","کابل دو شاخه 220 سانتی طوسی","120030094","220","15","2.5","3","3","6","","","","120110001","120110001","120100023","","4","","","8","","","",NULL,"","","",""
"140020091","37","کابل دو شاخه 220 سانتی طوسی","120030009","220","10","2.5","4.5","4.5","6","","","","120100002","120100008","120100023","","4","","","12","","","",NULL,"","","",""
"140020181","37","سیم دوشاخه برق کلیه محصولات  N-DW-  987 -01","120030094","223","17","2.5","3.2","3.2","6","14.5","14.5","17","120110001","120110001","120100023","","4","","","8","","","",NULL,"","","",""
"140020196","37","سیم دوشاخه برق  NT595MD   N-DW-912-02","120030094","223","15","2.5","4.5","4.5","6","13","13","15","120100008","120100002","120100023","","4","","","10","","","",NULL,"","","",""
"140030039","32","کابل دو شاخه 224 سانتی","120030094","224","12","2.5","3","3","6","8","8","12","120110015","120110015","120110052","","4","","","12","","","",NULL,"","","",""
"140030040","32","کابل دوشاخه  224  سانتی طوسی","120030094","224","12","2.5","3","3","6","8","8","12","120110015","120110015","120110052","","4","","","12","","","",NULL,"","","",""
"140090014","22","کابل دو شاخه سفید 257  سانتی","120030006","257","50","2.5","4.5","4.5","6","15","15","50","120100002","120100002","120110052","","5","","","10","","","",NULL,"","","",""
"140090037","22","كابل دوشاخه دار( power cord) طوسي كد مقصد: 20012187","120030042","227","23","2.5","4.5","4.5","6","23","23","23","120100002","120100002","120100029","","5","","","2","","","",NULL,"","","",""
"140090075","22","کابل دو شاخه سفید 257  سانتی","120030006","257","50","2.5","4.5","4.5","6","9.5","9.5","50","120100002","120100002","120110052","","5","","","5","","","",NULL,"","","",""
"140090098","22","كابل تغذيه 393-BRT130-10092","120030006","187","20","2.5","4.5","4.5","6","","","","120100002","120100002","120110052","","4","","","10","","","",NULL,"","","",""
"140090143","22","کابل دوشاخه دار (combi ref power cord)","120030094","227","23","2.5","4.5","4.5","6","","","","120100002","120100002","","120100029","5","","61","2","","","",NULL,"","","",""
"140120021","13","کابل دوشاخه ارت دار یخچال فریزر","120030009","223","15","2.5","10","10","6","15","15","15","","","120100024","","5","","","0","","","",NULL,"","","",""
"140120058","13","کابل دوشاخه ارت دار یخچال فریزر صندوقی","120030009","223","15","2.5","10","10","10","15","15","15","","","","","5","","","0","","","",NULL,"","","",""
"140160010","8","کابل دوشاخه","120030010","167","13.5","2.5","6","6","6","12.5","12.5","13.5","120100014","120100014","120100014","","5","","","2.5","","","",NULL,"","","",""
"140220011","25","کابل دوشاخه ظرفشویی 1/8 ارت دار 1*3 طوسی 30032050","120030107","183","12","2.5","5","5","5","9","9","12","120100047","120100047","120100083","","5","","","0","","","",NULL,"","","",""
"140220012","25","کابل دوشاخه لباسشویی ارت دار 1*3 طوسی 30014542","120030107","192","36","2.5","5","5","6","15","15","36","120100083","120100083","120110052","","5","","","1.5","","","",NULL,"","","",""
"140220018","25","کابل برق ظرفشویی کدمقصد 30026387","120030107","170","14.5","2.5","6","6","6","9","9","14.5","120100016","120100016","120100016","","5","","","1.5","","","",NULL,"","","",""
"140230010","2","کابل دوشاخه طوسی سه در یک ونیم","120030028","200","8.7","2.5","4.5","4.5","4.5","","","","120110051","120110051","120110051","","5","","","3","","","",NULL,"","","",""
"140230023","2","کابل دو شاخه سفید  145  سانتی","120030010","145","8.7","2.5","4.5","4.5","4.5","","","","120110051","120110051","120110051","","5","","","3","","","",NULL,"","","",""
"140230061","2","کابل سه رشته دو شاخه گلند پرسی اجاق گاز صادراتی","120030044","145","8.7","2.5","4.5","4.5","4.5","","","","120110051","120110051","120110051","","5","","","3","","","",NULL,"","","",""
"140230078","2","کابل دو شاخه اجاق تکنو ایتالیا","111111111","134","8.7","2.5","4.5","4.5","4.5","","","","","","","","5","","","0","","","",NULL,"","","",""
"140230080","19","کابل برق اجاق تکنو گاز","120030008","110","5","2.5","6","6","6","","","","120110052","120110052","120110052","","5","","","0","","","",NULL,"","","",""
"140230082","2","power supply cord","120030074","203","9","8.4","4.5","4.5","4.5","6.2","8.4","5.8","120110051","120110051","120110051","","1","","","3","","","",NULL,"","","",""
"140230089","2","power suppiy cord sap code","120030095","200","8.7","2.5","4.5","4.5","4.5","","","","120110051","120110051","120110051","","5","","","3","","","",NULL,"","","",""
"140240004","14","کابل دو شاخه 2 متری (سفید)","120030006","200","20","2.5","14","3.2","6","20","20","20","null","120110001","120100023","","4","","","0","","","",NULL,"","","",""
"140280032","40","کابل دوشاخه سفید 0.75*3","120030006","237","24","2.5","4.5","4.5","6","12","12","24","120100002","120100002","120100023","","4","","","10","","","",NULL,"","","",""
"140310007","16","کابل برق دوشاخه دوقلو(9/6)","120030094","215","31","2.5","15","15","6","24","24","31","","","120100023","","4","","","9.5","","","",NULL,"","","",""
"140310012","16","كابل دو شاخه جارو برقی مشکی 9 متری","120040048","900","5","2","5","5","0","5","5","0","120100080","120100080","","","2","","","0","","","",NULL,"","","",""
"140310028","16","کابل دو شاخه ظرفشویی 1*3","120030107","178","16.5","2.5","15","15","15","9","9","16.5","","","","","5","","","0","","","",NULL,"","","",""
"140310058","16","کابل دو شاخه هسته فریتی","120030009","215","16","2.5","6","6","6","16","16","5.5","120100018","120100018","","120100018","4","","18","1","","","",NULL,"","","",""
"140310071","16","POWER CORD    کدفنی :1210070064","120030107","183","24","2.5","6","6","6","19.5","19.5","24","120100016","120100016","120100047","","5","","","1","","","",NULL,"","","",""
"140310083","16","کابل دوشاخه ظرفشویی 1×3 (طول سیم ارت بلندتر)","120030107","185","23.5","2.5","6","6","6","9","9","23.5","120100015","120100015","120100015","","5","","","0","","","",NULL,"","","",""
"140350045","4","کابل دوشاخه سفید 224 سانتی","120030006","224","4","2.5","6","15","6.7","4","4","4","120100132","","120100029","","5","","","0","","","",NULL,"","","",""
"140350046","4","کابل دوشاخه محصولات تاچ","120030006","227","22.6","2.5","4.5","4.5","6","10.5","10.5","22.6","120100002","120100002","120100015","","4","","","3","","","",NULL,"","","",""
"140350080","4","PLUG FOR SIDE BY SIDE  کدمقصد: 11120000010","120030006","247","35","2.5","4.5","4.5","6","35","35","15.6","120110051","120110051","120100023","","5","","","4","","{""sometype"":4}","",NULL,"","","",""
"140350081","4","مجموعه كابل دو شاخه محصولات تاچ","120030006","229","22","2.5","4.5","4.5","6","10","10","22","120100002","120100002","120110052","","5","","","0","","{""emersan"": 2, ""himalia"": 9.5}","",NULL,"","","",""
"140490001","15","کابل دوشاخه 2/35 متری ارت دار","120030006","235","20","2.5","6","6","6","","","","","","","","4","","","0","","","",NULL,"","","",""
"140490003","15","کابل برد به کمپرسور","120030006","255","200","60","0","0","0","","","","","","","","1","","","0","","","",NULL,"","","",""
"140490005","15","کابل فن و لامپ","120030006","120","24","19","0","00","0","","","","","","","","1","","","0","","","",NULL,"","","",""
"140490006","15","کابل برد فریزر نوفراست 1700","120030006","122","10","10","3.2","3.2","3.2","","","","","","","","1","","","0","","","",NULL,"","","",""
"140490007","15","کابل برد کمپرسور فریزر نوفراست 1700","120030006","192","6","6","0","0","0","","","","","","","","1","","","0","","","",NULL,"","","",""
"140490008","15","کابل سویچ برد دیجیتال فریزر","120030006","30","7","5","3.2","3.2","0","","","","","","","","1","","","0","","","",NULL,"","","",""
"140490009","15","کابل هولدر لامپ برد دیجیتال","120030006","30","7","5","3.2","3.2","0","","","","","","","","1","","","0","","","",NULL,"","","",""
"140500010","1","کابل دو شاخه 0.75*3","120030009","200","15","2.5","10","10","10","","","","","","","","4","","","0","","","",NULL,"","","",""
"140530001","36","کابل دو شاخه دو در هفتادو پنج مدل 43 اینچ","120030039","221","2.5","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","40","","","",NULL,"","","",""
"140530002","36","کابل دوشاخه دو در هفتادو وپنج مدل 49 اینچ","120030039","189","2.5","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","8","","","",NULL,"","","",""
"140530003","36","کابل دوشاخه دو در هفتادو وپنج مدل 32 اینچ","120030039","185","2.5","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","4","","","",NULL,"","","",""
"140530004","36","کابل دو شاخه دو در هفتادو پنج مدل 50-55 اینچ","120030039","192","2.5","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","11","","","",NULL,"","","",""
"140530005","36","کابل دو شاخه 0.75*2 مدل 75 اینچ","120030039","221","2.5","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","20","","","",NULL,"","","",""
"140530006","36","کابل دو شاخه 0.75*2 مدل 65 اینچ","120030039","212","2.5","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","11","","","",NULL,"","","",""
"140530039","36","کابل برق جدا شونده سری 180 درجه تلویزیون","120030039","180","2.5","1.4","4","4","4","","","","120100223","120100223","","","3","","","0","","","",NULL,"","","",""
"140550019","31","کابل دوشاخه 3*1 فریتدار","120030073","196","30","2.5","6","6","6","18","18","30","120100016","120100016","120100045","","5","","","3","","","",NULL,"","","",""
"140550038","31","کابل  1*3 oven","210300185","0","0","2.5","0","0","0","","","","","","","","5","","","0","","","",NULL,"","","",""
"140550039","31","کابل  1.5*3 oven","210300187","0","0","2.5","0","0","0","","","","","","","","5","","","0","","","",NULL,"","","",""
"140550042","31","کابل 1.5*3 ماکرو ویو","120030118","128","15","2.5","5","5","6","10","10","15","120100021","120100021","120100045","","5","","","2","","","",NULL,"","","",""
"140550043","31","کابل 3.1 ماکرو ویو","120030119","126","13","2.5","5","5","6","8","8","13","120100021","120100021","120100045","","5","","","2","","","",NULL,"","","",""
"140550049","31","کابل 1.5*3 ماکرو ویو","120030118","126","13","2.5","5","5","6","8","8","13","120100021","120100021","120100045","","5","","","2","","","",NULL,"","","",""
"140550060","31","power cord کد مقصد : 850270446","120030116","161","1.4","2","4","4","","","","","120100223","120100223","","","2","","","0","","","",NULL,"","","",""
"140550062","31","power cord  کد مقصد : 950032159","120040072","190","2","2","3.2","3.2","","","","","120110001","120110001","","","2","","","0","","","",NULL,"","","",""
"140550063","31","power cord  کد مقصد : 950045920","120040072","229","2.5","2","3.2","3.2","","","","","120110001","120110001","","","2","","","0","","","",NULL,"","","",""
"140550064","31","POWER CORD     کد مقصد : 17476000007384","120030010","172","15.5","2.5","15","15","15","10.5","10.5","15.5","","","","","5","","","0","","","",NULL,"","","",""
"140550079","31"," power cord کد مقصد : 950091525","120040072","259","2","2","3.2","3.2","","","","","120110001","120110001","","","2","","","0","","","",NULL,"","","",""
"140590009","12","کابل دو شاخه 75*3","120030006","199","9","2.5","3.2","3.2","6","9","9","9","120110001","120110001","120100023","","4","","","0","","","",NULL,"","","",""
"140640007","20","کابل دو شاخه Power cord کد مقصد 3904000794","120030008","248","40","2.5","4.5","4.5","6","11","11","40","120100002","120100002","120110052","","5","","","2.5","","","",NULL,"","","",""
"140640026","20","کابل دو شاخه 1.5*3 لباسشویی","120030050","188","40","2.5","6","6","6","20","20","40","120100002","120100002","120110052","","5","","","3","","","",NULL,"","","",""
"140640035","20","POWER CORD - AT (001015-3903)","120030008","248","37","2.5","4.5","4.5","6","9","9","37","120100002","120100002","120110052","","5","","","2.5","","","",NULL,"","","",""
"140670001","24","کابل دوشاخه مشکی  110 سانتی","120030047","110","4","2.5","6","6","6","","","","120100023","120100023","120100023","","5","","","0","","","",NULL,"","","",""
"140670004","34","کابل برق هود","120030008","180","7","5","3.2","3.2","6","","","","","","120100023","","1","","","0","","","",NULL,"","","",""
"140670007","34","کابل دوشاخه مشکی  110 سانتی","120030008","110","4","2.5","6","6","6","","","","120100023","120100023","120100023","","5","","","0","","","",NULL,"","","",""
"140680007","18","کابل دو شاخه 2/2 متری ارت دار0.75*3","120030009","225","15","2.5","6","6","6","10","10","15","120100018","120100018","","120100018","4","","20","12","","","",NULL,"","","",""
"140760004","7"," ELECTRICAL WIRING ADDITIONAL POWER SUPPLY1,5METER","120030121","152","8","2.5","4.5","4.5","3.5","6","6","8","120100378","120100378","120110164","","5","","","0","","","",NULL,"","","",""
"140830001","5","كابل دوشاخه","120030006","257","70","2.5","5","5","5","","","","Sn","Sn","120100023","","4","","","0","","","",NULL,"","","",""
"140850002","24","Grill Power Supphy Cord کد مقصد : 30036574","120030011","153","6","2.5","5","5","5","4","4","6","120100047","120100047","120100047","","5","","","0","","","",NULL,"","","",""
"140860001","9","کابل دوشاخه بطول 1/5 متری","120030105","150","5","2.5","6","6","6","","","","120100014","120100019","120100023","","5","","","15","","","",NULL,"","","",""
"140890002","28","دوشاخه لباسشویی با سر سیم","120030006","200","21.4","2.5","19","19","6","","","","","","120100023","","4","","","14","","","",NULL,"","","",""
"140890003","28","دوشاخه لباسشویی","120030006","200","21.4","2.5","1.4","1.4","1.4","","","","","","","","4","","","14","","","",NULL,"","","",""
"140890004","28","کابل دوشاخه لباسشویی دو قلو طوسی روشن","120030094","200","21.4","2.5","1.4","1.4","1.4","","","","","","","","4","","","14","","","",NULL,"","","",""
"140890005","28","کابل دوشاخه تک شو 3.75","120030094","200","21.4","2.5","19","19","6","","","","","","120100023","","4","","","14","","","",NULL,"","","",""
"141000006","30","کابل دوشاخه 3.75","120030006","200","10","2.5","3.2","3.2","6","10","10","10","120110001","120110001","120100023","","4","","","2","","","",NULL,"","","",""
"141030001","26","کابل دوشاخه سه در هفتادوپنچ مشکی","120030008","195","7","2.5","6","6","6","","","","","","","","5","","","0","","","",NULL,"","","",""
"141030003","26","کابل دوشاخه سه در هفتادوپنج مشکی","120030008","160","8.7","2.5","6","6","6","","","","","","","","5","","","0","","","",NULL,"","","",""
"141030028","26","کابل دوشاخه Model-004195","120030008","195","8.7","2.5","6","6","6","","","","","","","","5","","","0","","","",NULL,"","","",""
"141030029","21","power cord for cooker 3*1","0","195","7","2.5","6","6","6","","","","","","","","5","","","0","","","",NULL,"","","",""
"141060001","35","کابل دوشاخه دو در هفتادوپنج لوازم خانگی کوچک","120030039","155","24","2.5","3.5","10","0","","","","120110001","120110001","","","3","","","2.5","","","",NULL,"","","",""
"141060005","35","کابل مشکی هوا پز","120030008","112","5","2.5","10","10","10","","","","","","","","5","","","0","","","",NULL,"","","",""
"141130001","23","کابل دو شاخه لباسشویی 0.75*3","120030006","175","10","2.5","0","0","0","","","","","","","","4","","","20","","","",NULL,"","","",""
"141130002","23","کابل دو شاخه کولر 0.75*3","120030006","220","10","2.5","15","15","15","","","","","","","","4","","","0","","","",NULL,"","","",""
"141170010","11","کابل دوشاخه (showcase)PTS01-01-00-00-005-Cb","0","208","18","2.5","4.5","4.5","6","","","","","","","","5","","","21","","","",NULL,"","","",""
"141170016","11","کابل دوشاخه (NoFfrost) PTN01-20-00-000-000-Cb","120030094","220","130","2.5","4.5","4.5","6","","","","","","","","5","","","2","","","",NULL,"","","",""
"141200050","3","کابل دوشاخه الکتروپیک","120030039","100","1.4","2","4","4","0","","","","120100223","120100223","","","3","","","0","","","",NULL,"","","",""
"141270007","6","سیم و دوشاخه آبمیوه گیری","120030039","116","20.8","2","11","11","0","","","","","Sn","","","3","","","4.5","","","",NULL,"","","",""
"141300004","38","کابل دوشاخه مشکی خرد کن و مخلوط کن","120040072","130","4","2.5","10","10","0","","","","null","null","null","","3","","","0","","","",NULL,"","","",""
"141300014","38","کابل دو شاخه آبمیوه گیری","120040072","150","15","2.5","10","10","0","","","","","","","","3","","","15","","","",NULL,"","","",""
"141300015","38","کابل برق هیتر1×2","120040049","150","5","2.5","15","6","0","5","5","0","120100014","","","","2","","","0","","","",NULL,"","","",""
"141320031","29","کابل دو شاخه 0.75*2 مدل 50-55 اینچ","120030039","192","2.5","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","11","","","",NULL,"","","",""
"141320032","29","کابل دو شاخه 0.75*2 مدل 75 اینچ","120030039","221","2.5","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","20","","","",NULL,"","","",""
"141320033","29","کابل دو شاخه 0.75*2 مدل 65 اینچ","120030039","212","2.5","2","3.2","3.2","0","","","","120110001","120110001","","","3","","","11","","","",NULL,"","","",""
"141320055","29","کابل برق جدا شونده سری 180 درجه تلویزیون","120030039","180","2.5","1.4","4","4","4","","","","120100223","120100223","","","3","","","0","","","",NULL,"","","",""
"141650001","10","کابل دوشاخه ظرفشویی 1/8 ارت دار 1*3","120030107","183","12","2.5","5","5","5","9","9","12","120100047","120100047","120100083","","5","","","0","","","",NULL,"","","",""
"141670001","17","کابل دوشاخه 1*3 لباسشویی طوسی","120030107","192","30.5","2.5","6","6","6","26.5","26.5","30.5","120100016","120100016","120100045","","5","","","3.5","","","",NULL,"","","",""
"140310075","16","کابل دوشاخه یخچال و فریزر دوقلو کمبی-طرح2  COM-0304-01-00 کد فنی : 1210070101","120030094","219","20","2.5","4.5","4.5","6","20","20","15.5","120100002","120100002","120100023","","5","","","1","","","",NULL,"","","",""
"140310031","16","Electrical Power Cord - BCD 746 (DC-06-031)","120030008","203","3","2","4.5","4.5","6.7","3","3","30","120110061","120110061","120100045","","5","","","15","","","",NULL,"","","",""
"140550084","31","Power cord  assemblyشماره فنی : 8502400445L","120030116","190","2","2","3.2","3.2","","","","","120110001","120110001","","","2","","","0","","","",NULL,"","","",""
"140310016","16","کابل برق دو شاخه دار یخچال فریزر 482  کد مقصد :  1210070081","120030008","2185","26.5","2.5","4.5","4.5","6","3","3","26.5","120110061","120110061","120110052","","5","","","15","","","",NULL,"","","",""
"140310017","16","کابل برق دو شاخه دار یخچال فریزر 650  کد مقصد : 1210070082","120030008","245","44","2.5","6","3.2","6","44","6.5","34","120100016","120110001","120110052","","5","","","24","","","",NULL,"","","",""
"140450027","33","Power cord-TRF-520 کد مقصد12010201025000","120030094","219","23","2","3.2","3.2","6","15.5","15.5","23","120110001","120110001","120100045","","5","","","1","","","",NULL,"","","",""
"140450039","33","پاورکورد لباسشویی  شماره فنی :12020102016650","120030107","176","12","2","6","6","6","9","9","12","120100016","120100016","120100047","","5","","","3","","","",NULL,"","","",""
"140310096","16","کابل دوشاخه برق شستشو و خشک کن   کدفنی :1210070106","120030107","192","33","2","6","6","6","19.5","19.5","33","120100016","120100016","120100047","","5","","","0.85","","","",NULL,"","","",""
"140450035","33","Power cord-TRF-650 کد مقصد : 12010201021750","120030094","225","27","2","3.5","3.5","6","27","27","21","120100323","120100323","120100045","","5","","","1","","","",NULL,"","","",""
"140010298","39","","","","","","0","0","0","","","","0","0","0","","3","","","15","","","",NULL,"","","",""
"140450047","33","سیم دوشاخ هواپز","120030011","140","6","2.5","12","12","12","5","5","6","0","0","0","","5","","","0","","","",NULL,"","","",""
