id,customer_id,name,cable_id,cutting_length,tall_strip_length,short_strip_length,blue_strip_length,brown_strip_length,yellow_strip_length,blue_terminal_id,brown_terminal_id,yellow_terminal_id,double_terminal_id,plug_id,cord_id,extra_earth_length,cord_length,description,created_by,created_at,updated_at,deleted_at
140000006,31,,120030006,200,10,2.5,10,10,10,,,,,,,,2,,,,,
140010092,43,,120030009,220,10,2.5,,,,,,,,,,,12,,,,,
140010117,43,,120030094,220,10,2.5,,,,,,,,,,,12,,,,,
140010230,43,,120030094,215,16,2.5,16,16,5.5,,,,,,,,1,,,,,
140010235,43,,120030039,160,2,2,,,,,,,,,,,7.5,,,,,
140010236,43,,120030039,192,2,2,,,,,,,,,,,40,,,,,
140010237,43,,120030039,163,2,2,,,,,,,,,,,11,,,,,
140010255,43,,120030094,220,10,2.5,,,,,,,,,,,12,,,,,
140010260,43,,120030039,212,20,20,,,,,,,,,,,60,,,,,
140010279,43,,120030039,177,2.5,2,,,,,,,,,,,25,,,,,
140010280,43,,120030039,192,2,2,,,,,,,,,,,40,,,,,
140010281,43,,120030039,212,20,20,,,,,,,,,,,60,,,,,
140010282,43,,120030039,163,2.5,2,,,,,,,,,,,11,,,,,
140010295,43,,120030039,150,2.5,1.4,,,,,,,,,,,0,,,,,
140020007,41,,120030094,220,15,2.5,,,,,,,,,,,8,,,,,
140020091,41,,120030009,220,10,2.5,,,,,,,,,,,12,,,,,
140020181,41,,120030094,223,17,2.5,14.5,14.5,17,,,,,,,,8,,,,,
140020196,41,,120030094,223,15,2.5,13,13,15,,,,,,,,10,,,,,
140030039,33,,120030094,224,12,2.5,8,8,12,,,,,,,,12,,,,,
140030040,33,,120030094,224,12,2.5,8,8,12,,,,,,,,12,,,,,
140040012,28,,120030009,220,10,2.5,,,,,,,,,,,0,,,,,
140090014,22,,120030006,257,50,2.5,15,15,50,,,,,,,,10,,,,,
140090037,22,,120030042,227,23,2.5,23,23,23,,,,,,,,2,,,,,
140090075,22,,120030006,257,50,2.5,9.5,9.5,50,,,,,,,,5,,,,,
140090098,22,,120030006,187,20,2.5,,,,,,,,,,,10,,,,,
140090143,22,,120030094,227,23,2.5,,,,,,,,,,,2,,,,,
140120021,13,,120030009,223,15,2.5,15,15,15,,,,,,,,0,,,,,
140120058,13,,120030009,223,15,2.5,15,15,15,,,,,,,,0,,,,,
140160010,8,,120030010,167,13.5,2.5,12.5,12.5,13.5,,,,,,,,2.5,,,,,
140160015,8,,120030006,160,12,2.5,,,,,,,,,,,3,,,,,
140220011,26,,120030107,183,12,2.5,9,9,12,,,,,,,,0,,,,,
140220012,26,,120030107,192,36,2.5,15,15,36,,,,,,,,1.5,,,,,
140220013,26,,120030009,172,13.5,205,,,,,,,,,,,,delete,,,,
140220018,26,,120030107,170,14.5,2.5,9,9,14.5,,,,,,,,1.5,,,,,
140230010,2,,120030028,200,8.7,2.5,,,,,,,,,,,3,,,,,
140230023,2,,120030010,145,8.7,2.5,,,,,,,,,,,3,,,,,
140230061,2,,120030044,145,8.7,2.5,,,,,,,,,,,3,,,,,
140230078,2,,000000000,134,8.7,2.5,,,,,,,,,,,0,,,,,
140230080,19,,120030008,110,5,2.5,,,,,,,,,,,0,,,,,
140230082,2,,120030074,203,9,8.4,6.2,8.4,5.8,,,,,,,,3,,,,,
140230089,2,,120030095,200,8.7,2.5,,,,,,,,,,,3,,,,,
140240004,14,,120030006,200,20,2.5,20,20,20,,,,,,,,0,,,,,
140280032,44,,120030006,237,24,2.5,12,12,24,,,,,,,,10,,,,,
140310006,16,,120030009,190,16,2.5,,,,,,,,,,,,delete,,,,
140310007,16,,120030094,215,31,2.5,24,24,31,,,,,,,,9.5,,,,,
140310009,16,,120030107,191,33,2.5,30,30,33,,,,,,,,1,,,,,
140310012,16,,120040048,900,5,2,5,5,0,,,,,,,,0,,,,,
140310028,16,,120030107,178,16.5,2.5,9,9,16.5,,,,,,,,0,,,,,
140310058,16,,120030009,215,16,2.5,16,16,5.5,,,,,,,,1,,,,,
140310071,16,,120030107,183,24,2.5,19.5,19.5,24,,,,,,,,1,,,,,
140310083,16,,120030107,185,23.5,2.5,9,9,23.5,,,,,,,,0,,,,,
140350045,4,,120030006,224,4,2.5,4,4,4,,,,,,,,0,,,,,
140350046,4,,120030006,227,22.6,2.5,10.5,10.5,22.6,,,,,,,,3,,,,,
140350080,4,,120030006,247,35,2.5,35,35,15.6,,,,,,,,4,"{""sometype"":4}",,,,
140350081,4,,120030006,229,22,2.5,10,10,22,,,,,,,,0,"{""emersan"": 2, ""himalia"": 9.5}",,,,
140490001,15,,120030006,235,20,2.5,,,,,,,,,,,0,,,,,
140490003,15,,120030006,255,200,60,,,,,,,,,,,0,,,,,
140490005,15,,120030006,120,24,19,,,,,,,,,,,0,,,,,
140490006,15,,120030006,122,10,10,,,,,,,,,,,0,,,,,
140490007,15,,120030006,192,6,6,,,,,,,,,,,0,,,,,
140490008,15,,120030006,30,7,5,,,,,,,,,,,0,,,,,
140490009,15,,120030006,30,7,5,,,,,,,,,,,0,,,,,
140500010,1,,120030009,200,15,2.5,,,,,,,,,,,0,,,,,
140530001,38,,120030039,221,2.5,2,,,,,,,,,,,40,,,,,
140530002,38,,120030039,189,2.5,2,,,,,,,,,,,8,,,,,
140530003,38,,120030039,185,2.5,2,,,,,,,,,,,4,,,,,
140530004,38,,120030039,192,2.5,2,,,,,,,,,,,11,,,,,
140530005,38,,120030039,221,2.5,2,,,,,,,,,,,20,,,,,
140530006,38,,120030039,212,2.5,2,,,,,,,,,,,11,,,,,
140530039,38,,120030039,180,2.5,1.4,,,,,,,,,,,0,,,,,
140550019,32,,120030073,196,30,2.5,18,18,30,,,,,,,,3,,,,,
140550038,32,,210300185,0,0,2.5,,,,,,,,,,,0,,,,,
140550039,32,,210300187,0,0,2.5,,,,,,,,,,,0,,,,,
140550042,32,,120030118,128,15,2.5,10,10,15,,,,,,,,2,,,,,
140550043,32,,120030119,126,13,2.5,8,8,13,,,,,,,,2,,,,,
140550049,32,,120030118,126,13,2.5,8,8,13,,,,,,,,2,,,,,
140550060,32,,120030116,161,1.4,2,,,,,,,,,,,0,,,,,
140550062,32,,120040072,190,2,2,,,,,,,,,,,0,,,,,
140550063,32,,120040072,229,2.5,2,,,,,,,,,,,0,,,,,
140550064,32,,120030010,172,15.5,2.5,10.5,10.5,15.5,,,,,,,,0,,,,,
140550079,32,,120040072,259,2,2,,,,,,,,,,,0,,,,,
140590009,12,,120030006,199,9,2.5,9,9,9,,,,,,,,0,,,,,
140640007,25,,120030008,248,40,2.5,11,11,40,,,,,,,,2.5,,,,,
140640026,25,,120030050,188,40,2.5,20,20,40,,,,,,,,3,,,,,
140640035,25,,120030008,248,37,2.5,9,9,37,,,,,,,,2.5,,,,,
140670001,24,,120030047,110,4,2.5,,,,,,,,,,,0,,,,,
140670004,35,,120030008,180,7,5,,,,,,,,,,,0,,,,,
140670007,35,,120030008,110,4,2.5,,,,,,,,,,,0,,,,,
140670012,2,,120030011,152,20,2.5,,,,,,,,,,,,unknown,,,,
140680007,18,,120030009,225,15,2.5,10,10,15,,,,,,,,12,,,,,
140760004,7,,120030121,152,8,2.5,6,6,8,,,,,,,,0,,,,,
140830001,5,,120030006,257,70,2.5,,,,,,,,,,,0,,,,,
140850002,24,,120030011,153,6,2.5,4,4,6,,,,,,,,0,,,,,
140860001,9,,120030105,150,5,2.5,,,,,,,,,,,15,,,,,
140890002,29,,120030006,200,21.4,2.5,,,,,,,,,,,14,,,,,
140890003,29,,120030006,200,21.4,2.5,,,,,,,,,,,14,,,,,
140890004,29,,120030094,200,21.4,2.5,,,,,,,,,,,14,,,,,
140890005,29,,120030094,200,21.4,2.5,,,,,,,,,,,14,,,,,
141000006,31,,120030006,200,10,2.5,10,10,10,,,,,,,,2,,,,,
141030001,27,,120030008,195,7,2.5,,,,,,,,,,,0,,,,,
141030003,27,,120030008,160,8.7,2.5,,,,,,,,,,,0,,,,,
141030028,27,,120030008,195,8.7,2.5,,,,,,,,,,,0,,,,,
141030029,21,,0,195,7,2.5,,,,,,,,,,,0,,,,,
141060001,37,,120030039,155,24,2.5,,,,,,,,,,,2.5,,,,,
141060005,37,,120030008,112,5,2.5,,,,,,,,,,,0,,,,,
141130001,23,,120030006,175,10,2.5,,,,,,,,,,,20,,,,,
141130002,23,,120030006,220,10,2.5,,,,,,,,,,,0,,,,,
141170009,11,,120030008,206,18,2.5,,,,,,,,,,,18,,,,,
141170010,11,,0,208,18,2.5,,,,,,,,,,,21,,,,,
141170016,11,,120030094,220,130,2.5,,,,,,,,,,,2,,,,,
141170021,11,,120030008,206,18,2.5,,,,,,,,,,,18,,,,,
141170022,11,,120030008,206,18,2.5,,,,,,,,,,,19,,,,,
141200050,3,,120030039,100,1.4,2,,,,,,,,,,,0,,,,,
141270007,6,,120030039,116,20.8,2,,,,,,,,,,,4.5,,,,,
141300004,42,,120040072,130,4,2.5,,,,,,,,,,,0,,,,,
141300008,42,,120030039,149,23.5,2.5,,,,,,,,,,,5,,,,,
141300014,42,,120040072,150,15,2.5,,,,,,,,,,,15,,,,,
141300015,42,,120040049,150,5,2.5,5,5,0,,,,,,,,0,,,,,
141320018,30,,120030011,88,6,2.5,5,6,6,,,,,,,,0,,,,,
141320031,30,,120030039,192,2.5,2,,,,,,,,,,,11,,,,,
141320032,30,,120030039,221,2.5,2,,,,,,,,,,,20,,,,,
141320033,30,,120030039,212,2.5,2,,,,,,,,,,,11,,,,,
141320055,30,,120030039,180,2.5,1.4,,,,,,,,,,,0,,,,,
141650001,10,,120030107,183,12,2.5,9,9,12,,,,,,,,0,,,,,
141670001,17,,120030107,192,30.5,2.5,26.5,26.5,30.5,,,,,,,,3.5,,,,,
140310075,16,,120030094,219,20,2.5,20,20,15.5,,,,,,,,1,,,,,
140310031,16,,120030008,203,3,2,3,3,30,,,,,,,,15,,,,,
140550084,32,,120030116,190,2,2,,,,,,,,,,,0,,,,,
140220019,26,,120030050,197,36,2.5,15,15,36,,,,,,,,1.5,,,,,
140310016,16,,120030008,2185,26.5,2.5,3,3,26.5,,,,,,,,15,,,,,
140310017,16,,120030008,245,44,2.5,44,6.5,34,,,,,,,,24,,,,,
140450027,34,,120030094,219,23,2,15.5,15.5,23,,,,,,,,1,,,,,
140450039,34,,120030107,176,12,2,9,9,12,,,,,,,,3,,,,,
140310096,16,,120030107,192,33,2,19.5,19.5,33,,,,,,,,0.85,,,,,
140450035,34,,120030094,225,27,2,27,27,21,,,,,,,,1,,,,,
140010298,43,,,,,,,,,,,,,,,,15,,,,,
140450047,34,,120030011,140,6,2.5,5,5,6,,,,,,,,0,,,,,
